i j lamda_ij(AA) Aji_E1 fij_E1 S_E1 Aji_E2 Aji_M1 Aji_M2
3 103 3.455E+02 0.000E+00 0.000E+00 0.000E+00 1.429E-02 7.326E-06 0.000E+00
3 104 3.310E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.164E-08
3 105 3.297E+02 2.714E+06 4.423E-05 1.440E-04 0.000E+00 0.000E+00 1.587E-04
3 106 3.297E+02 4.876E+06 1.324E-04 4.312E-04 0.000E+00 0.000E+00 1.610E-03
3 107 3.297E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.086E-04
3 108 3.289E+02 2.739E+03 4.441E-08 1.442E-07 0.000E+00 0.000E+00 1.443E-04
3 109 3.288E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.429E-11
3 112 3.262E+02 1.210E+07 1.930E-04 6.217E-04 0.000E+00 0.000E+00 4.141E-03
3 114 3.254E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.054E-02
3 115 3.254E+02 4.150E-04 1.098E-14 3.529E-14 0.000E+00 0.000E+00 1.439E-02
3 120 3.231E+02 0.000E+00 0.000E+00 0.000E+00 6.121E+01 5.256E-08 0.000E+00
3 121 3.231E+02 0.000E+00 0.000E+00 0.000E+00 9.000E+01 0.000E+00 0.000E+00
3 123 3.214E+02 0.000E+00 0.000E+00 0.000E+00 3.539E-02 5.854E-07 0.000E+00
3 124 3.210E+02 7.728E+05 3.978E-06 1.261E-05 0.000E+00 0.000E+00 0.000E+00
3 125 3.210E+02 1.852E+05 2.860E-06 9.064E-06 0.000E+00 0.000E+00 1.005E-02
3 126 3.210E+02 1.774E+05 4.566E-06 1.447E-05 0.000E+00 0.000E+00 1.189E-02
3 127 3.209E+02 8.532E-01 2.195E-11 6.957E-11 0.000E+00 0.000E+00 2.148E-02
3 129 3.199E+02 0.000E+00 0.000E+00 0.000E+00 7.223E-03 0.000E+00 0.000E+00
3 132 3.184E+02 0.000E+00 0.000E+00 0.000E+00 4.996E+01 2.241E-06 0.000E+00
3 133 3.184E+02 0.000E+00 0.000E+00 0.000E+00 5.710E+00 2.494E-06 0.000E+00
3 134 3.184E+02 0.000E+00 0.000E+00 0.000E+00 2.276E+01 0.000E+00 0.000E+00
3 135 3.174E+02 0.000E+00 0.000E+00 0.000E+00 9.278E+02 1.427E-05 0.000E+00
3 136 3.174E+02 0.000E+00 0.000E+00 0.000E+00 5.137E+02 3.475E-06 0.000E+00
